Brand,Model,Age,KmDriven,Transmission,Owner,FuelType,Price
BMW,X5,121,41000,Automatic,first,Diesel,4500000.0
Mercedes-Benz,C-Class,97,23550,Automatic,first,Diesel,3365999.9999999995
Honda,Brio,157,45000,Manual,second,Petrol,365000.0
Hyundai,i10,145,60000,Manual,first,Petrol,275000.0
Mercedes-Benz,GLC,109,44414,Automatic,first,Diesel,4250000.0
Hyundai,i10,73,1000,Manual,first,Petrol,650000.0
Audi,A6,157,62500,Automatic,second,Diesel,1900000.0
Volkswagen,Vento,145,21000,Automatic,second,Petrol,445000.0
Mini,Cooper,97,8525,Automatic,second,Diesel,2300000.0
Hyundai,i20,133,29000,Manual,first,Diesel,835000.0
Audi,A6,133,40000,Automatic,first,Diesel,2295000.0
Chevrolet,Beat,157,88000,Manual,first,Diesel,150000.0
Skoda,Superb,157,53537,Automatic,first,Petrol,689000.0
Ford,Fiesta,229,216000,Manual,second,Diesel,145000.0
BMW,5 Series,133,51000,Automatic,first,Diesel,3350000.0
Chevrolet,Optra,217,118500,Manual,first,Petrol,125000.0
Volkswagen,Polo,157,63000,Manual,first,Diesel,420000.0
Renault,Lodgy,121,25000,Manual,first,Diesel,675000.0
Mercedes-Benz,E-Class,133,37382,Automatic,first,Diesel,3200000.0
Maruti Suzuki,Baleno,97,24773,Manual,first,Petrol,750000.0
Hyundai,Verna,157,62000,Manual,first,Diesel,459999.99999999994
Hyundai,i10,97,52340,Manual,first,Petrol,404000.0
Mahindra,Scorpio,109,56739,Manual,first,Diesel,1031000.0
Land Rover,Range Rover,85,36091,Automatic,first,Diesel,5576000.0
Ford,Figo,181,120000,Manual,first,Diesel,260000.0
Maruti Suzuki,Ertiga,109,33000,Manual,first,Diesel,850000.0
Honda,City,217,60006,Manual,first,Petrol,295000.0
Honda,Amaze,133,52000,Manual,first,Diesel,350000.0
Hyundai,i10,121,43571,Manual,first,Petrol,355000.0
Honda,Amaze,145,50000,Manual,first,Diesel,325000.0
Skoda,Laura,205,113000,Manual,first,Diesel,450000.0
Renault,Duster,133,90000,Manual,first,Diesel,535000.0
Mahindra,Nuvosport,97,29000,Manual,second,Diesel,650000.0
Maruti Suzuki,Vitara-Brezza,109,20000,Manual,first,Diesel,900000.0
Hyundai,i20,109,61012,Manual,first,Petrol,600000.0
Skoda,Fabia,193,87459,Manual,first,Petrol,275000.0
Lexus,LX,181,70500,Manual,first,Petrol,150000.0
Audi,Q3,121,64103,Automatic,first,Diesel,1989999.9999999998
Skoda,Octavia,133,76000,Automatic,first,Petrol,1000000.0
Toyota,Etios Liva,133,104000,Manual,first,Diesel,300000.0
Maruti Suzuki,Swift,181,42001,Manual,first,Petrol,211000.0
Mercedes-Benz,B-Class,133,37245,Automatic,first,Petrol,1196000.0
Honda,Amaze,145,45000,Manual,first,Diesel,325000.0
Hyundai,Verna,157,117837,Manual,second,Diesel,475000.0
Renault,Duster,133,30000,Manual,first,Diesel,595000.0
Hyundai,Creta,121,27057,Manual,second,Petrol,815000.0
Maruti Suzuki,Wagon-R,109,8500,Automatic,first,Petrol,422000.0
Mercedes-Benz,C-Class,181,30500,Automatic,first,Petrol,1050000.0
Audi,A8,157,56000,Automatic,first,Diesel,4500000.0
Hyundai,i10,157,44000,Manual,second,Petrol,290000.0
Skoda,Rapid,97,10500,Automatic,first,Petrol,890000.0
Skoda,Superb,97,26000,Automatic,first,Petrol,2600000.0
Hyundai,i20,85,25166,Manual,first,Petrol,822000.0000000001
Honda,Amaze,133,64000,Manual,second,Diesel,350000.0
Maruti Suzuki,Wagon-R,253,61000,Manual,second,Petrol,125000.0
Mahindra,Verito,145,107000,Manual,first,Diesel,370000.0
Mercedes-Benz,C-Class,85,29161,Automatic,first,Diesel,3940999.9999999995
Maruti Suzuki,Wagon-R,145,32000,Manual,first,Petrol,265000.0
Nissan,Terrano,121,46173,Manual,second,Diesel,892000.0
Maruti Suzuki,Swift,145,47000,Manual,first,Diesel,409999.99999999994
Mini,Cooper,97,26327,Automatic,first,Petrol,3567000.0
Ford,Figo,121,70436,Manual,first,Diesel,360000.0
Tata,Indica,217,200000,Manual,second,Diesel,85000.0
Chevrolet,Beat,109,60813,Manual,second,Petrol,332000.0
Volkswagen,Polo,157,45000,Manual,first,Diesel,360000.0
Maruti Suzuki,Swift,109,64000,Manual,first,Diesel,680000.0
Ford,Figo,157,41284,Manual,first,Diesel,250000.0
Toyota,Innova,73,14165,Automatic,first,Diesel,1964000.0
Hyundai,Santa Fe,169,67000,Automatic,second,Diesel,700000.0
Honda,City,169,32572,Manual,first,Petrol,387000.0
Hyundai,i20,85,14960,Manual,first,Petrol,627000.0
Mercedes-Benz,C-Class,121,55980,Automatic,first,Diesel,1812000.0
Chevrolet,Beat,145,74000,Manual,first,Diesel,265000.0
Hyundai,i20,121,56847,Manual,first,Diesel,720000.0
Toyota,Innova,121,121374,Manual,first,Diesel,1430000.0
Maruti Suzuki,Ertiga,145,52000,Manual,first,Diesel,690000.0
Toyota,Innova,133,118000,Manual,first,Diesel,1075000.0
Lexus,LX,217,72000,Manual,third,Petrol,95000.0
Honda,City,109,33915,Manual,first,Petrol,809000.0
BMW,X1,133,82002,Automatic,first,Diesel,1850000.0
Hyundai,i10,97,33000,Manual,first,Diesel,475000.0
Maruti Suzuki,Ciaz,109,34000,Manual,first,Diesel,844999.9999999999
Skoda,Rapid,157,55000,Manual,first,Diesel,350000.0
Hyundai,Accent,229,160538,Manual,first,Diesel,180000.0
Volkswagen,Polo,133,60000,Manual,second,Diesel,370000.0
Honda,Jazz,97,49575,Manual,first,Petrol,717000.0
Hyundai,i10,181,83000,Manual,first,Petrol,175000.0
Lexus,LS,85,51346,Automatic,first,Diesel,2199000.0
Toyota,Innova,97,43000,Manual,first,Diesel,1864999.9999999998
Datsun,Go,169,35000,Manual,third,Petrol,185000.0
Maruti Suzuki,Swift,97,27872,Manual,second,Petrol,595000.0
Hyundai,i10,133,16514,Manual,first,Petrol,375000.0
Maruti Suzuki,Swift,157,120000,Manual,first,Diesel,375000.0
Hyundai,Verna,205,143275,Manual,first,Diesel,260000.0
Hyundai,Santro,229,99000,Manual,first,Petrol,175000.0
Hyundai,i20,181,52000,Manual,first,Petrol,280000.0
Mercedes-Benz,GLE,97,29819,Automatic,first,Diesel,6129000.0
Mercedes-Benz,C-Class,133,57000,Manual,second,Diesel,1800000.0
Maruti Suzuki,Ritz,133,88500,Manual,first,Diesel,434999.99999999994
Hyundai,Creta,109,28000,Manual,first,Diesel,1375000.0
Maruti Suzuki,A-Star,181,67000,Manual,first,Petrol,200000.0
Lexus,RX,109,26000,Manual,first,Diesel,1000000.0
Fiat,Punto,181,120000,Manual,first,Diesel,165000.0
BMW,X3,97,51982,Automatic,first,Diesel,4577000.0
Hyundai,i10,181,36000,Manual,second,Petrol,325000.0
Toyota,Innova,109,47000,Manual,first,Diesel,1280000.0
Maruti Suzuki,Zen,277,60000,Manual,third,Petrol,55000.00000000001
Maruti Suzuki,Swift,85,31025,Manual,first,Diesel,715000.0
Lexus,LX,145,105000,Manual,second,Diesel,700000.0
Tata,Zest,97,121900,Manual,first,Diesel,375000.0
Ford,Ecosport,97,22695,Manual,first,Petrol,850000.0
Maruti Suzuki,Swift Dzire,157,73000,Manual,first,Diesel,434999.99999999994
Maruti Suzuki,Alto,109,32227,Manual,first,Petrol,326000.0
Honda,City,169,55000,Manual,first,Petrol,421000.0
Audi,Q7,85,11287,Automatic,first,Diesel,7036000.0
Skoda,Laura,193,48000,Automatic,second,Diesel,295000.0
Hyundai,Verna,157,54308,Manual,first,Petrol,428000.0
Honda,City,193,78442,Automatic,first,Petrol,357000.0
Hyundai,i20,145,46000,Manual,first,Diesel,311000.0
Hyundai,i20,133,45051,Automatic,first,Petrol,596000.0
Volkswagen,Vento,169,69000,Manual,first,Diesel,470000.0
Honda,City,133,49000,Manual,first,Petrol,690000.0
Tata,Zest,85,45000,Manual,first,Diesel,525000.0
BMW,5 Series,121,64000,Automatic,first,Diesel,2800000.0
Maruti Suzuki,Wagon-R,193,60000,Manual,first,Petrol,135000.0
Honda,Jazz,121,62178,Manual,first,Petrol,484999.99999999994
Volkswagen,Jetta,157,58006,Manual,first,Diesel,670000.0
Hyundai,i10,181,74000,Manual,first,Petrol,310000.0
Mercedes-Benz,C-Class,121,77771,Automatic,first,Diesel,1864000.0
Hyundai,i10,157,45275,Manual,first,Petrol,280000.0
Toyota,Innova,109,48000,Manual,first,Diesel,2025000.0
Audi,A6,121,31652,Automatic,first,Diesel,2678000.0
Toyota,Innova,181,109000,Manual,second,Diesel,826000.0
Volkswagen,Polo,121,31978,Manual,first,Petrol,389000.0
Maruti Suzuki,Alto,169,70000,Manual,first,Petrol,210000.0
Honda,City,97,15000,Automatic,first,Petrol,1269000.0
Lexus,LX,145,59138,Manual,first,Diesel,258000.0
Audi,A6,133,61726,Automatic,first,Diesel,2077000.0
Mercedes-Benz,A-Class,121,48000,Automatic,first,Diesel,2026000.0000000002
Hyundai,Santro,229,58000,Manual,second,Petrol,150000.0
Maruti Suzuki,Swift,169,60020,Manual,first,Diesel,250000.0
Maruti Suzuki,Celerio,133,77815,Automatic,first,Petrol,425000.0
Mercedes-Benz,GLE,97,29000,Automatic,first,Diesel,5700000.0
Land Rover,Range Rover,97,44000,Automatic,first,Diesel,4400000.0
Volkswagen,Vento,169,108626,Manual,first,Diesel,365000.0
Maruti Suzuki,Omni,157,71791,Manual,first,Petrol,204999.99999999997
Honda,Brio,157,91931,Manual,first,Petrol,313000.0
Tata,Sumo,301,158000,Manual,second,Diesel,150000.0
Tata,Indica,157,91183,Manual,first,Diesel,285000.0
Maruti Suzuki,Wagon-R,157,65000,Manual,first,Petrol,265000.0
Mahindra,XUV500,121,88428,Manual,first,Diesel,1060000.0
Lexus,LS,205,138000,Manual,second,Diesel,125000.0
Maruti Suzuki,Ertiga,85,18000,Manual,first,Petrol,825000.0
Honda,Accord,169,60000,Automatic,first,Petrol,445000.0
Maruti Suzuki,Swift Dzire,157,48000,Manual,first,Diesel,370000.0
Ford,Fiesta,193,160000,Manual,first,Diesel,280000.0
Honda,City,205,40000,Manual,first,Petrol,180000.0
Audi,A6,133,51495,Automatic,first,Diesel,2195000.0
BMW,6 Series,169,30000,Automatic,first,Diesel,4900000.0
Audi,Q7,97,97430,Automatic,first,Diesel,6267000.0
Lexus,LX,205,42496,Manual,first,CNG,140000.0
Hyundai,i20,157,83000,Manual,first,Diesel,550000.0
Hyundai,i10,193,37000,Automatic,third,Petrol,295000.0
Honda,Jazz,109,28503,Automatic,first,Petrol,686000.0
Maruti Suzuki,Swift,121,76496,Manual,first,Diesel,615000.0
Hyundai,i20,169,79152,Manual,second,Petrol,330000.0
Volkswagen,Polo,169,32000,Manual,first,Petrol,254999.99999999997
Maruti Suzuki,Alto,193,35000,Manual,first,Petrol,150000.0
Toyota,Corolla,253,105000,Automatic,second,Petrol,250000.0
Maruti Suzuki,Alto,229,56000,Manual,second,Petrol,140000.0
Tata,Manza,157,73000,Manual,first,Diesel,340000.0
Maruti Suzuki,Alto,157,38000,Manual,first,Petrol,225000.0
Skoda,Octavia,145,775000,Automatic,first,Diesel,750000.0
Toyota,Corolla,205,80000,Automatic,first,Petrol,280000.0
Hyundai,i20,109,24973,Manual,first,Petrol,766000.0
Maruti Suzuki,Vitara-Brezza,109,45000,Manual,first,Diesel,715000.0
Honda,City,181,87430,Manual,first,Petrol,350000.0
Tata,Indica,133,133944,Manual,second,Diesel,350000.0
Honda,Amaze,145,57000,Manual,first,Diesel,345000.0
Hyundai,Eon,109,27904,Manual,first,Petrol,355000.0
BMW,3 Series,121,30717,Automatic,second,Diesel,2599000.0
Hyundai,Verna,157,80000,Manual,first,Diesel,525000.0
Tata,Manza,145,47304,Manual,first,Diesel,290000.0
Skoda,Octavia,241,100000,Automatic,first,Petrol,204999.99999999997
Maruti Suzuki,Alto,97,30000,Manual,first,Petrol,375000.0
Ford,Ecosport,133,68000,Manual,first,Diesel,675000.0
Chevrolet,Spark,169,21000,Manual,second,Petrol,95000.0
Jaguar,XF,97,21000,Automatic,first,Diesel,5200000.0
Honda,CRV,217,119000,Manual,third,Petrol,391000.0
Skoda,Superb,73,13747,Automatic,first,Petrol,2730000.0
Hyundai,i10,193,620000,Manual,first,Petrol,270000.0
Maruti Suzuki,Swift,145,70000,Manual,first,Diesel,350000.0
Maruti Suzuki,Swift Dzire,109,18000,Automatic,first,Petrol,620000.0
Nissan,Micra,169,83000,Manual,first,Diesel,275000.0
Maruti Suzuki,Swift Dzire,121,130000,Manual,first,Diesel,325000.0
Ambassador,Classic,157,63400,Manual,first,Diesel,325000.0
Lexus,LX,265,65000,Manual,first,Petrol,65000.0
Mini,Cooper,97,8350,Manual,first,Petrol,3500000.0
Toyota,Etios,133,45000,Manual,first,Diesel,325000.0
Maruti Suzuki,Alto,85,26200,Manual,first,Petrol,290000.0
Maruti Suzuki,Alto,169,11000,Manual,third,Petrol,290000.0
BMW,X5,193,90000,Automatic,second,Diesel,1775000.0
Nissan,Teana,121,74000,Automatic,second,Petrol,825000.0
Hyundai,i10,121,37081,Automatic,first,Petrol,577000.0
Maruti Suzuki,Vitara-Brezza,97,39000,Manual,first,Diesel,949000.0
Audi,Q7,205,99000,Automatic,third,Diesel,1295000.0
Mercedes-Benz,A-Class,121,38000,Automatic,first,Diesel,2000000.0
Maruti Suzuki,800,217,72000,Manual,third,Petrol,100000.0
Renault,Duster,121,93000,Manual,second,Diesel,710000.0
Toyota,Corolla,97,5900,Manual,first,Diesel,1650000.0
Mercedes-Benz,C-Class,133,25000,Manual,first,Diesel,2600000.0
Maruti Suzuki,Ritz,181,68000,Manual,second,Diesel,320000.0
Honda,BRV,97,35676,Automatic,first,Petrol,948000.0
Hyundai,Xcent,121,74310,Manual,first,Diesel,400000.0
Mercedes-Benz,E-Class,133,59364,Automatic,first,Diesel,2650000.0
Mercedes-Benz,B-Class,133,41380,Automatic,second,Petrol,1177000.0
Mercedes-Benz,E-Class,97,33900,Automatic,first,Diesel,3700000.0
Honda,City,109,28000,Manual,first,Petrol,875000.0
Lexus,LX,217,50958,Manual,first,Petrol,195000.0
Honda,City,169,93982,Manual,first,Petrol,375000.0
Hyundai,Verna,181,95000,Manual,first,Petrol,250000.0
Jaguar,XE,97,9000,Automatic,first,Petrol,3450000.0
Honda,Amaze,121,52516,Manual,first,Petrol,465000.00000000006
Mini,Cooper,121,20000,Automatic,first,Petrol,3200000.0
Mercedes-Benz,S-Class,97,56451,Automatic,first,Diesel,6281000.0
Hyundai,Eon,133,37000,Manual,first,Petrol,325000.0
Maruti Suzuki,Wagon-R,133,17400,Manual,first,Petrol,310000.0
Maruti Suzuki,Ritz,169,90207,Manual,first,Diesel,391000.0
BMW,3 Series,169,89616,Automatic,first,Diesel,1100000.0
Tata,Xenon,133,85000,Manual,first,Diesel,350000.0
Audi,A3,133,79271,Automatic,first,Diesel,1650000.0
Land Rover,Range Rover,157,56000,Automatic,first,Diesel,3000000.0
Mercedes-Benz,GL-Class,181,85001,Automatic,second,Diesel,2800000.0
Mitsubishi,Pajero,85,12000,Automatic,first,Diesel,2800000.0
Maruti Suzuki,Alto,181,125000,Manual,first,Petrol,92000.0
Maruti Suzuki,Wagon-R,145,53000,Manual,first,Petrol,275000.0
Land Rover,Range Rover,97,34990,Automatic,first,Diesel,5383000.0
Hyundai,Verna,169,49768,Manual,second,Petrol,495000.0
BMW,5 Series,145,56000,Automatic,first,Diesel,3350000.0
Jaguar,XF,145,75000,Automatic,first,Diesel,2795000.0
Skoda,Superb,181,57000,Automatic,first,Petrol,725000.0
Audi,Q3,97,37542,Automatic,first,Diesel,2571000.0
Land Rover,Range Rover,133,95649,Automatic,first,Diesel,2967000.0
Mercedes-Benz,C-Class,145,35299,Automatic,first,Diesel,1900000.0
Mahindra,Scorpio,97,28464,Manual,first,Diesel,1305000.0
BMW,3 Series,121,41000,Automatic,first,Diesel,2550000.0
Honda,BRV,97,9000,Manual,first,Petrol,850000.0
Volvo,S80,181,92098,Automatic,second,Diesel,725000.0
Mercedes-Benz,GLE,241,5834,Manual,first,Petrol,80000.0
Hyundai,i20,97,40250,Manual,first,Petrol,690000.0
Mercedes-Benz,AMG,85,22397,Automatic,first,Petrol,7098999.999999999
Hyundai,Eon,121,20800,Manual,second,Petrol,225000.0
Hyundai,i10,85,40322,Manual,first,Petrol,550000.0
Honda,City,145,52576,Manual,first,Petrol,434999.99999999994
Volkswagen,Polo,181,55000,Manual,first,Petrol,225000.0
Audi,A6,109,47000,Automatic,first,Petrol,2450000.0
Volkswagen,Jetta,181,42021,Manual,first,Diesel,545000.0
Hyundai,Creta,97,23163,Manual,first,Petrol,1203000.0
Mercedes-Benz,C-Class,169,50000,Automatic,second,Petrol,850000.0
Mini,Cooper,133,11900,Automatic,first,Petrol,2850000.0
